eartag,date,dpi,barn,innoc,barni,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc
14,3/2/2020,16,1,0,1b,0,0,0,0,0,0,0,0,39.1
58,3/2/2020,16,1,0,1b,0,0,0,0,0,0,0,0,39.1
64,3/2/2020,16,1,0,1b,0,0,0,0,0,0,0,0,39.3
808,3/2/2020,16,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,3/2/2020,16,3,1,3a,0,0,0,1,0,0,1,1,38.5
16,3/2/2020,16,3,1,3a,0,0,0,0,0,0,0,0,39.4
35,3/2/2020,16,3,1,3a,0,0,0,0,0,0,0,0,39.1
51,3/2/2020,16,3,1,3a,0,0,0,1,0,0,1,1,38.7
26,3/2/2020,16,5,1,5a,0,0,0,1,0,0,1,1,39.4
28,3/2/2020,16,5,1,5a,NA,NA,NA,NA,NA,NA,NA,0,NA
57,3/2/2020,16,5,1,5a,1,0,0,1,0,1,3,3,38.5
827,3/2/2020,16,5,1,5a,0,0,0,1,0,0,1,1,38.9
11,4/2/2020,17,1,0,1b,0,0,0,0,0,0,0,0,39
13,4/2/2020,17,1,0,1b,0,0,0,0,0,0,0,0,39.2
14,4/2/2020,17,1,0,1b,0,0,0,0,0,0,0,0,38.7
58,4/2/2020,17,1,0,1b,0,0,0,0,0,0,0,0,39
64,4/2/2020,17,1,0,1b,0,0,0,0,0,0,0,0,39.1
808,4/2/2020,17,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,4/2/2020,17,3,1,3a,0,1,0,0,0,0,1,1,39.7
16,4/2/2020,17,3,1,3a,1,0,0,0,0,1,2,2,38.5
35,4/2/2020,17,3,1,3a,1,2,0,0,0,0,3,3,40.5
51,4/2/2020,17,3,1,3a,0,1,0,1,0,0,2,2,39.9
26,4/2/2020,17,5,1,5a,0,0,0,0,0,1,1,1,38.6
28,4/2/2020,17,5,1,5a,NA,NA,NA,NA,NA,NA,NA,0,NA
57,4/2/2020,17,5,1,5a,0,0,0,0,0,1,1,1,39.1
827,4/2/2020,17,5,1,5a,0,0,0,0,0,0,0,0,38.8
11,5/2/2020,18,1,0,1b,0,0,0,0,0,0,0,0,38.7
13,5/2/2020,18,1,0,1b,0,0,0,0,0,0,0,0,39
14,5/2/2020,18,1,0,1b,0,0,0,0,0,0,0,0,38.5
58,5/2/2020,18,1,0,1b,0,0,0,0,0,0,0,0,38.9
64,5/2/2020,18,1,0,1b,0,0,0,0,0,0,0,0,39
808,5/2/2020,18,1,0,1b,NA,NA,NA,NA,NA,NA,NA,0,NA
6,5/2/2020,18,3,1,3a,0,1,0,1,0,0,2,2,39.7
16,5/2/2020,18,3,1,3a,0,0,0,0,0,0,0,0,39.4
35,5/2/2020,18,3,1,3a,0,0,0,0,0,0,0,0,39.2
51,5/2/2020,18,3,1,3a,0,0,0,1,0,0,1,1,39.3
26,5/2/2020,18,5,1,5a,0,0,0,0,0,0,0,0,39.2
28,5/2/2020,18,5,1,5a,NA,NA,NA,NA,NA,NA,NA,0,NA
57,5/2/2020,18,5,1,5a,1,0,0,1,0,1,3,3,39
827,5/2/2020,18,5,1,5a,0,0,0,1,0,0,1,1,38.5
11,6/2/2020,19,1,0,1b,0,0,0,0,0,0,0,0,38.9
13,6/2/2020,19,1,0,1b,0,0,0,0,0,0,0,0,39.1
14,6/2/2020,19,1,0,1b,0,0,0,0,0,0,0,0,38.6
58,6/2/2020,19,1,0,1b,0,0,0,0,0,0,0,0,39.2
