eartag,type,species,sex,dpi,barn,innoc,barni,od,sp,status,note,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,notes,isolation1_dpbs,i1o,i1n,i1r
53,C,S,M,24,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
61,C,S,F,24,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
2,E,S,M,24,6,1,6a,0.048,0.252652855,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
12,E,S,M,24,6,0,6b,0.103,5.811015664,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,,0,0
17,E,S,M,24,6,0,6b,0.101,5.60889338,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,,0,0
32,E,S,M,24,6,0,6b,0.122,7.731177362,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,,0,0
36,E,S,F,24,6,1,6a,0.057,1.162203133,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,,,0
37,E,S,M,24,6,0,6b,0.087,4.194037393,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,,,0
46,E,S,F,24,6,1,6a,0.052,0.656897423,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,,,0
47,E,S,M,24,6,1,6a,0.058,1.263264275,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
1,E,G,F,28,4,1,4a,0.052,-1.604814443,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,0,,
8,E,G,F,28,4,1,4a,0.049,-2.20661986,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,0,,
20,E,G,M,28,4,1,4a,0.066,1.203610832,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
21,E,G,M,28,4,1,4a,NA,NA,NA,died overnight into dpi 17,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,died overnight into dpi 17,,,,
23,E,G,M,28,4,0,4b,0.054,-1.203610832,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,0,,
24,E,G,F,28,4,0,4b,0.059,-0.200601805,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
25,E,G,F,28,4,0,4b,0.058,-0.401203611,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
39,E,G,M,28,4,0,4b,0.059,-0.200601805,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
9,C,G,F,28,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
30,C,G,M,28,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
44,C,G,F,28,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
51,C,S,F,28,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
53,C,S,M,28,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
61,C,S,F,28,5,0,5b,NA,NA,NA,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,control animals were not swabbed,,,,
2,E,S,M,28,6,1,6a,0.048,0.252652855,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
12,E,S,M,28,6,0,6b,0.103,5.811015664,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
17,E,S,M,28,6,0,6b,0.101,5.60889338,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
32,E,S,M,28,6,0,6b,0.122,7.731177362,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,,,0
36,E,S,F,28,6,1,6a,0.057,1.162203133,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
37,E,S,M,28,6,0,6b,0.087,4.194037393,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0,,,0
46,E,S,F,28,6,1,6a,0.052,0.656897423,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
47,E,S,M,28,6,1,6a,0.058,1.263264275,Neg,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
