eartag,species,date,dpi,barn,innoc,barni,od,sp,status,od_f,sp_f,status_f,notes1,notes2,expt,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,isolation1_dpbs,i1o,i1n,i1r
239,Caprine,13/3/2021,14,1,0,1b,0.128,5.19,Neg,0.132,5.6,Neg,,,,,,,,,,,,,,,,,,,,
241,Caprine,13/3/2021,14,1,0,1b,0.128,5.19,Neg,0.084,0.62,Neg,,,,,,,,,,,,,,,,,,,,
246,Caprine,13/3/2021,14,1,0,1b,0.115,3.84,Neg,0.139,6.33,Neg,,,,,,,,,,,,,,,,,,,,
255,Caprine,13/3/2021,14,1,0,1b,0.09,1.24,Neg,0.086,0.83,Neg,,,,,,,,,,,,,,,,,,,,
259,Bovine,13/3/2021,14,2,1,2a,0.081,0.31,Neg,0.104,2.7,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
262,Bovine,13/3/2021,14,2,1,2a,0.09,1.24,Neg,0.152,7.68,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
263,Bovine,13/3/2021,14,2,1,2a,0.123,4.67,Neg,0.111,3.42,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
271,Bovine,13/3/2021,14,2,1,2a,0.1,2.28,Neg,0.573,51.35,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
234,Caprine,13/3/2021,14,2,0,2b,0.088,1.04,Neg,0.094,1.66,Neg,,,,,,,,,,,,,,,,,,,,
235,Caprine,13/3/2021,14,2,0,2b,0.107,3.01,Neg,0.09,1.24,Neg,,,,,,,,,,,,,,,,,,,,
252,Caprine,13/3/2021,14,2,0,2b,0.11,3.32,Neg,0.09,1.24,Neg,,,,,,,,,,,,,,,,,,,,
254,Caprine,13/3/2021,14,2,0,2b,0.084,0.62,Neg,0.074,-0.41,Neg,,,,,,,,,,,,,,,,,,,,
233,Caprine,13/3/2021,14,3,1,3a,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
247,Caprine,13/3/2021,14,3,1,3a,1.23,119.5,Pos,1.207,117.12,Pos,,,,25.6687,25.5544,NA,,23.8823,23.9062,,,25.61155,,23.89425,,,0,0,,0
236,Caprine,13/3/2021,14,4,0,4b,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
243,Caprine,13/3/2021,14,4,0,4b,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
258,Bovine,13/3/2021,14,5,1,5a,0.095,1.76,Neg,0.091,1.35,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
265,Bovine,13/3/2021,14,5,1,5a,0.093,1.56,Neg,0.607,54.88,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
269,Bovine,13/3/2021,14,5,1,5a,0.077,-0.1,Neg,0.074,-0.41,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
273,Bovine,13/3/2021,14,5,1,5a,0.108,3.11,Neg,0.082,0.41,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
232,Caprine,13/3/2021,14,5,0,5b,0.084,0.62,Neg,0.094,1.66,Neg,,,,,,,,,,,,,,,,,,,,
245,Caprine,13/3/2021,14,5,0,5b,0.112,3.53,Neg,0.099,2.18,Neg,,,,,,,,,,,,,,,,,,,,
248,Caprine,13/3/2021,14,5,0,5b,0.111,3.42,Neg,0.119,4.25,Neg,,,,,,,,,,,,,,,,,,,,
253,Caprine,13/3/2021,14,5,0,5b,0.089,1.14,Neg,0.095,1.76,Neg,,,,,,,,,,,,,,,,,,,,
256,Bovine,13/3/2021,14,6,1,6a,0.098,2.07,Neg,0.2,12.66,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
261,Bovine,13/3/2021,14,6,1,6a,0.096,1.87,Neg,0.784,73.24,Pos,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
268,Bovine,13/3/2021,14,6,1,6a,0.103,2.59,Neg,0.182,10.79,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
272,Bovine,13/3/2021,14,6,1,6a,0.101,2.39,Neg,0.178,10.37,Neg,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
231,Caprine,13/3/2021,14,6,0,6b,0.089,1.14,Neg,0.097,1.97,Neg,,,,,,,,,,,,,,,,,,,,
240,Caprine,13/3/2021,14,6,0,6b,0.102,2.49,Neg,0.086,0.83,Neg,,,,,,,,,,,,,,,,,,,,
